,lastName,firstName,Site,Rating,URL
0,Katyal,Neal K.,sfgate,-1,https://www.sfgate.com/opinion/article/The-transcript-Trump-released-is-still-the-only-14883821.php
1,Katyal,Neal K.,msn,-1,http://www.msn.com/en-gb/news/editorpicks/the-mueller-report-is-coming-heres-what-to-expect/ar-BBTVVGj?srcref=rss
2,Katyal,Neal K.,msn,-1,http://www.msn.com/en-us/news/opinion/the-mueller-report-is-coming-heres-what-to-expect/ar-BBTUyjG?srcref=rss
3,Katyal,Neal K.,msn,-1,http://www.msn.com/en-gb/news/editorpicks/the-mueller-report-is-coming-here-s-what-to-expect/ar-BBTVVGj?ocid=ob-tw-engb-665
4,Katyal,Neal K.,msn,-1,http://www.msn.com/en-ca/news/newspolitics/trump%E2%80%99s-appointment-of-the-acting-attorney-general-is-unconstitutional/ar-BBPuFsd?li=AAggFp4&srcref=rss
5,Katyal,Neal K.,msn,-1,http://www.msn.com/en-ca/news/newspolitics/trump%E2%80%99s-appointment-of-the-acting-attorney-general-is-unconstitutional/ar-BBPuFsd?srcref=rss
6,Katyal,Neal K.,msn,-1,http://www.msn.com/en-us/news/opinion/trump%E2%80%99s-appointment-of-the-acting-attorney-general-is-unconstitutional/ar-BBPu93C?srcref=rss
7,Katyal,Neal K.,seattlepi,-1,https://www.seattlepi.com/opinion/article/Rosenstein-can-protect-the-Mueller-investigation-13259756.php
8,Young,Neil J.,yahoo,-1,https://www.yahoo.com/news/donald-trump-doesn-apos-t-230903322.html
9,Young,Neil J.,sg,-1,https://sg.news.yahoo.com/stop-spoiling-emotional-support-animals-094637137.html
10,Young,Neil J.,yahoo,-1,https://www.yahoo.com/news/religious-apos-deal-devil-just-110029051.html
11,Young,Neil J.,yahoo,-1,https://www.yahoo.com/news/mormon-church-domestic-violence-problem-175500709.html
12,Young,Neil J.,alternet,-1,http://www.alternet.org/belief/why-donald-trump-might-be-most-anti-catholic-presidential-candidate-modern-history
13,Young,Neil J.,alternet,-1,http://www.alternet.org/election-2016/trumps-mormon-problem
14,Young,Neil J.,mohavedailynews,-1,http://www.mohavedailynews.com/sports/arizona-corbin-two-hrs-beat-toronto/article_0d4b45da-3844-11e6-b56e-3fa1c536bb45.html
15,Young,Neil J.,mohavedailynews,-1,http://www.mohavedailynews.com/sports/banks-we-re-not-done/article_202c7c7e-3843-11e6-8ee5-d30b32ae7409.html
16,Young,Neil J.,mohavedailynews,-1,http://www.mohavedailynews.com/sports/johnson-s-wings-beat-griner-s-mercury-for-nd-time/article_ec9ba9ce-3843-11e6-bd60-eb7e8473d98e.html
17,Young,Neil J.,mohavedailynews,-1,http://www.mohavedailynews.com/sports/scottsdale-s-prospect-top-notch/article_2150f606-3844-11e6-8190-e39a902b2b6f.html
18,Young,Neil J.,mohavedailynews,-1,http://www.mohavedailynews.com/sports/arizona-corbin-two-hrs-beat-toronto/article_0d4b45da-3844-11e6-b56e-3fa1c536bb45.html
19,Young,Neil J.,themonitor,-1,http://www.themonitor.com/entertainment/music/springsteen-neil-young-others-pay-tribute-to-bob-dylan/article_bab645a7-bd0a-5cf6-b7b5-8f85fdf4427c.html
20,Kristof,Nicholas,jhnewsandguide,-2,https://www.jhnewsandguide.com/jackson_hole_daily/opinions/president-biden-lets-a-saudi-murderer-walk/article_cffaeb9e-26b7-5bc3-9719-e8bf7b2f2f27.html
21,Kristof,Nicholas,startribune,-2,https://www.startribune.com/president-trump-incites-violent-rioters/600007538/
22,Kristof,Nicholas,timesofindia,-2,https://timesofindia.indiatimes.com/world/us/whats-forcing-pornhub-to-clean-up/articleshow/79659770.cms
23,Kristof,Nicholas,timesofindia,-2,https://timesofindia.indiatimes.com/world/us/trump-succeeded-in-doing-what-russia-couldnt/articleshow/79075916.cms
24,Kristof,Nicholas,startribune,-2,https://www.startribune.com/what-if-there-were-no-george-floyd-video/571133752/
25,Kristof,Nicholas,startribune,-2,https://www.startribune.com/who-has-flaws-but-it-does-lifesaving-work/569709042/
26,Kristof,Nicholas,news,-2,https://news.yahoo.com/trumps-deadly-search-scapegoat-190620046.html
27,Kristof,Nicholas,jhnewsandguide,-2,https://www.jhnewsandguide.com/jackson_hole_daily/opinions/steps-to-tackle-the-coronavirus/article_3fd0916c-0655-5cde-8e47-8bf01509069c.html
28,Kristof,Nicholas,startribune,-2,http://www.startribune.com/12-practical-steps-for-the-president-and-other-leaders-to-take-immediately/568740442/
29,Kristof,Nicholas,palmbeachpost,-2,https://www.palmbeachpost.com/opinion/20200305/nicholas-kristof-why-biden-is-change-candidate
30,Kristof,Nicholas,startribune,-2,http://www.startribune.com/u-s-bank-the-grinch-that-fired-an-angel/567536642/
31,Kristof,Nicholas,jhnewsandguide,-2,https://www.jhnewsandguide.com/jackson_hole_daily/opinions/coronavirus-spreads-and-world-pays-for-china-s-dictatorship/article_0196520e-1b6b-51f7-8a6e-c1e8922b279c.html
32,Kristof,Nicholas,jhnewsandguide,-2,https://www.jhnewsandguide.com/jackson_hole_daily/opinions/trump-has-a-bizarre-idea-of-winning/article_a659c7b1-2a0f-5d5a-8b9d-c19c57488c0c.html
