,lastName,firstName,Site,Rating,URL
0,Mattis,James,krdo,0,https://krdo.com/politics/2020/06/04/republican-senators-shrug-off-mattis-criticism-of-trump-its-his-opinion/
1,Mattis,James,keyt,0,https://keyt.com/politics/2020/06/04/republican-senators-shrug-off-mattis-criticism-of-trump-its-his-opinion/
2,Mattis,James,abc17news,0,https://abc17news.com/politics/national-politics/2020/06/04/republican-senators-shrug-off-mattis-criticism-of-trump-its-his-opinion/
3,Mattis,James,ktvz,0,https://ktvz.com/politics/2020/06/04/republican-senators-shrug-off-mattis-criticism-of-trump-its-his-opinion/
4,Mattis,James,kion546,0,https://kion546.com/politics/2020/06/04/republican-senators-shrug-off-mattis-criticism-of-trump-its-his-opinion/
5,Mattis,James,kesq,0,https://kesq.com/news/national-politics/2020/06/04/republican-senators-shrug-off-mattis-criticism-of-trump-its-his-opinion/
6,Mattis,James,kyma,0,https://kyma.com/news/politics/2020/06/04/republican-senators-shrug-off-mattis-criticism-of-trump-its-his-opinion/
7,Mattis,James,jerusalemonline,0,http://www.jerusalemonline.com/news/world-news/around-the-globe/trump-denies-suggesting-tenfold-nuclear-arsenal-increase-31671
8,Mattis,James,jerusalemonline,0,http://www.jerusalemonline.com/news/world-news/around-the-globe/mattis-us-army-must-be-ready-for-war-with-n.-korea-31622
9,Mattis,James,hooverpress,0,http://www.hooverpress.org/Warriors-and-Citizens-P627.aspx
10,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/2020/03/15/opinion/im-skeptical-about-climate-alarmism-i-take-coronavirus-fears-seriously/
11,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/staff/jacoby
12,Jacoby,Jeff,msn,2,http://www.msn.com/en-us/news/opinion/the-pittsburgh-massacre-reflects-a-changing-america/ar-BBP0Uhj?srcref=rss
13,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2011/12/04/frank-bullying-put-downs-won-missed/MptM8rILPLxTSdlDSNvuDI/story.html
14,Jacoby,Jeff,msn,2,http://www.msn.com/en-us/money/companies/the-businessman-in-the-cassock/ar-AAz4Hxq?srcref=rss&ocid=iehrs
15,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/06/23/the-businessman-cassock/0gSS68XjP7bTDtfMRECoRP/story.html
16,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/06/19/striking-down-millionaires-tax-sjc-cleans-maura-healey-mess/OhaJAzXPMcaqzgznEIWhQN/story.html
17,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/06/11/the-bad-registry-and-other-bad-registry/E9gRJIfMI7tSzEhsQme6dI/story.html
18,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/2018/06/11/your-father-republican-party-has-vanished-his-democratic-party-has-too-america-once-great-political-parties-have-changed-for-worse/sxKIAZjTPk4SxloDkTJYOO/story.html
19,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/06/05/arthur-miller-and-down-syndrome-default/lR8PvqFQvPwxk1kPj9lQ4N/story.html
20,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/05/23/america-plummeting-birthrate-alarm-shouldn-ignore/3NFaq2qa7VE6psjgrnYJeL/story.html
21,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/05/15/america-remains-only-plausible-candidate-for-world-policeman/lQxsU5jbZ4auwoDotGoWGK/story.html
22,Jacoby,Jeff,jeffjacoby,2,http://www.jeffjacoby.com/21170/the-palestinians-real-nakba
23,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/editorials/2018/05/13/the-palestinians-real-nakba/q6jxZ0e01TF7bQICrygkmL/story.html
24,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/04/24/earth-day-and-doomsters/vcqJznOusFJRLGDP5aKIyM/story.html
25,Jacoby,Jeff,msn,2,http://www.msn.com/en-us/news/us/the-berkshire-museum-saga-is-headed-toward-a-happy-ending/ar-AAw0uvt?srcref=rss&ocid=iehrs
26,Jacoby,Jeff,msn,2,http://www.msn.com/en-us/news/money/sjc-should-spike-proposed-millionaires-tax/ar-AAvKcfn?srcref=rss&ocid=iehrs
27,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/03/13/deval-patrick-for-president-democrats-could-lot-worse/RFSaE1wh53hm72rKhFxmWI/story.html
28,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/03/09/western-corporations-appease-china-despots/QyJeoEwmZE5KLe5Gg5Mp0L/story.html
29,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/03/06/fight-for-your-right-discriminate/QKPLMSqyMuIWPY1J9zPvMK/story.html
30,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/03/06/obama-repeats-myth-that-his-administration-was-free-scandal/oyXEqY1QktjuXSL9Yj21IM/story.html
31,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/02/27/unions-pay-for-politics-with-fees-coerced-from-nonmembers/usogS4g8yoVau7JiyV64GP/story.html
32,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/02/03/the-berlin-wall-was-shameful-trump-wants-build-his-own/9txISjCJZ5tIeMIjoWmisI/story.html
33,Jacoby,Jeff,bostonglobe,2,https://www.bostonglobe.com/opinion/2018/01/10/time-end-debate-and-face-facts-minimum-wage-laws-hurt-poor/m77z8f7r7b9Wh0doMcbLOK/story.html
