,lastName,firstName,Site,Rating,URL
0,Verbruggen,Robert,nationalreview,1,https://www.nationalreview.com/corner/the-winners-and-losers-of-immigration/
1,Verbruggen,Robert,nationalreview,1,http://www.nationalreview.com/corner/456475/senate-immigration-bills-go-down-flames
2,Verbruggen,Robert,nationalreview,1,http://www.nationalreview.com/article/452371/bump-stock-ban-treat-like-machine-guns
3,Blagojevich,Rod,msn,0,https://www.msn.com/en-us/lifestyle/lifestyle-buzz/adoptable-lake-norman-pet-sweet-boy-jasper-in-search-of-home/ar-BB12oKXy?ocid=iehrs&srcref=rss
4,Blagojevich,Rod,msn,0,https://www.msn.com/en-us/news/us/how-you-can-help-michiganders-without-food-due-to-the-coronavirus/ar-BB12oIym?ocid=iehrs&srcref=rss
5,Blagojevich,Rod,abc7chicago,0,http://abc7chicago.com/news/appeals-court-denies-blagojevich-request-for-3rd-sentencing/1900654/
6,Blagojevich,Rod,abc7chicago,0,http://abc7chicago.com/news/blagojevich-resentencing-can-proceed-after-stay-refused/954918/
7,Blagojevich,Rod,abc7,0,http://abc7.com/politics/court-overturns-some-blagojevich-senate-seat-convictions/869797/
8,Hendriks,Rolf,downloads,0,http://downloads.zdnet.com/product/20415-75893272/
9,Hendriks,Rolf,downloads,0,http://downloads.zdnet.com/product/2094-75080101/
10,Suskind,Ron,campaign,0,http://campaign.r20.constantcontact.com/render?ca=5a15e415-91a1-460b-80e6-78b9016a1eab&c=ccf99a20-b755-11e3-82da-d4ae52712b64&ch=cd724c90-b755-11e3-8339-d4ae52712b64&utm_content=buffer39cc7
11,Suskind,Ron,pbs,0,http://www.pbs.org/video/2365959312/
12,Suskind,Ron,star,0,http://www.star-telegram.com/living/family/article85869467.html
13,Douthat,Ross,startribune,1,https://www.startribune.com/the-almost-familiarity-for-the-u-s-in-a-story-of-germany-before-the-fall/600040266/
14,Douthat,Ross,anbaaonline,1,https://anbaaonline.com/news/114971
15,Douthat,Ross,startribune,1,https://www.startribune.com/voting-wars-are-pointless-as-well-as-endless/600035101/
16,Douthat,Ross,startribune,1,https://www.startribune.com/the-twilight-of-the-anti-trump-idols/600028950/
17,Douthat,Ross,jhnewsandguide,1,https://www.jhnewsandguide.com/jackson_hole_daily/opinions/the-covid-emergency-must-end/article_365ba31c-de73-5997-be12-c0e21da965ea.html
18,Douthat,Ross,startribune,1,https://www.startribune.com/why-the-u-s-needs-mitt-romneys-proposed-reform-for-family-benefits/600020518/
19,Douthat,Ross,startribune,1,https://www.startribune.com/why-the-senate-may-convict-trump/600012208/
20,Douthat,Ross,startribune,1,https://www.startribune.com/what-republicans-might-gain-if-they-lose-georgia/600006953/
21,Douthat,Ross,startribune,1,https://www.startribune.com/how-can-so-many-americans-believe-the-election-was-stolen/573324161/
22,Douthat,Ross,startribune,1,https://www.startribune.com/when-elections-settle-nothing/572975342/
23,Douthat,Ross,startribune,1,https://www.startribune.com/school-lockdowns-abandon-kids-of-color/572694562/
24,Douthat,Ross,startribune,1,https://www.startribune.com/the-meaning-of-amy-coney-barrett-in-the-arc-of-feminism/572564392/
25,Douthat,Ross,startribune,1,https://www.startribune.com/why-republicans-may-have-to-risk-replacing-ginsburg/572511721/
26,Douthat,Ross,economictimes,1,https://economictimes.indiatimes.com/news/international/world-news/how-many-lives-would-a-more-normal-president-have-saved-in-the-united-states/articleshow/77964222.cms
27,Douthat,Ross,teranews,1,https://teranews.in/here-are-five-things-you-can-try-if-coronavirus-doesnt-go-away/
28,Douthat,Ross,economictimes,1,https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/here-are-four-things-you-can-try-if-coronavirus-doesnt-go-away/articleshow/77455878.cms
29,Douthat,Ross,startribune,1,https://www.startribune.com/in-a-post-trump-world-can-the-tea-party-rise-again/572008652/
30,Douthat,Ross,startribune,1,https://www.startribune.com/if-systemic-racism-is-a-real-thing-planned-parenthood-s-margaret-sanger-problem-looks-like-a-prime-example/571961992/
31,Douthat,Ross,arcdigital,1,https://arcdigital.media/decadence-for-the-time-being-c09b3f376694
32,Douthat,Ross,startribune,1,https://www.startribune.com/10-theses-about-cancel-culture/571761652/
33,Douthat,Ross,douthat,1,https://douthat.blogs.nytimes.com/2010/02/11/the-age-of-space/
34,Douthat,Ross,startribune,1,https://www.startribune.com/renaming-a-school-doesn-t-change-what-the-school-was-built-on/571607332/
35,Douthat,Ross,startribune,1,https://www.startribune.com/crisis-in-the-liberal-city-the-formula-fails/570956532/
36,Douthat,Ross,startribune,1,https://www.startribune.com/what-do-we-do-when-no-one-has-the-answer/569489182/
37,Douthat,Ross,startribune,1,http://www.startribune.com/my-family-fell-ill-with-telltale-signs-quarantined-then/569072532/
38,Douthat,Ross,startribune,1,http://www.startribune.com/the-case-for-joe-biden/568284252/
39,Douthat,Ross,startribune,1,http://www.startribune.com/coronavirus-is-a-test-for-globalism-for-populism-too/568212422/
40,Douthat,Ross,startribune,1,http://www.startribune.com/despite-attempts-to-reduce-its-clout-iowa-persists-in-presidential-race-importance/566975352/
41,Douthat,Ross,nationalreview,1,https://www.nationalreview.com/magazine/2020/01/21/frozen-2-and-star-wars-the-rise-of-skywalker-return-of-the-disney-juggernauts/
42,Douthat,Ross,startribune,1,http://www.startribune.com/it-wasn-t-the-decade-everything-went-wrong/566577271/
43,Douthat,Ross,startribune,1,http://www.startribune.com/liberals-don-t-blame-social-media-for-all-that-ails-us/565450852/
44,Douthat,Ross,jhnewsandguide,1,https://www.jhnewsandguide.com/jackson_hole_daily/opinions/social-media-and-the-populist-moment/article_2300ea3e-c449-5d67-a468-f9d7f5ccf51f.html
45,Douthat,Ross,startribune,1,http://www.startribune.com/trump-but-not-just-trump-against-the-professionals/565098572/
46,Douthat,Ross,archive,1,http://archive.is/R9QsW
47,Douthat,Ross,startribune,1,http://www.startribune.com/elizabeth-warren-s-health-care-albatross/564359182/
48,Douthat,Ross,startribune,1,http://www.startribune.com/literature-and-life-watership-down-is-a-book-for-our-troubled-times/563877842/
49,Douthat,Ross,startribune,1,http://www.startribune.com/appraising-the-non-bidens-amy-klobuchar-and-pete-buttigieg/563217572/
50,Douthat,Ross,startribune,1,http://www.startribune.com/deaths-of-despair-america-s-more-immediate-crisis/559971382/
51,Douthat,Ross,jhnewsandguide,1,https://www.jhnewsandguide.com/jackson_hole_daily/opinions/the-age-of-american-despair/article_28b68867-6245-5fac-b649-40444bad8d87.html
52,Douthat,Ross,startribune,1,http://www.startribune.com/what-to-expect-when-you-re-expecting-a-recession/554893042/
53,Douthat,Ross,startribune,1,http://www.startribune.com/when-to-take-conspiracy-theories-seriously/539924292/
54,Douthat,Ross,startribune,1,http://www.startribune.com/the-hapless-harvard-law-prof-the-grifters-and-the-stories-that-divide-us/513342702/
55,Douthat,Ross,startribune,1,http://www.startribune.com/saving-american-un-exceptionalism-from-trump/512964862/
56,Douthat,Ross,startribune,1,http://www.startribune.com/saving-bernie-sanders-by-touting-his-pragmatism/512734402/
57,Douthat,Ross,ajc,1,https://www.ajc.com/news/opinion/opinion-saving-bernie-sanders/EERLx4u2d7p8fTrM9nss8O/
58,Douthat,Ross,startribune,1,http://www.startribune.com/the-one-income-two-income-trap/509646332/
59,Douthat,Ross,startribune,1,http://www.startribune.com/how-a-burning-cathedral-rebukes-a-divided-catholic-church/508665112/
60,Douthat,Ross,startribune,1,http://www.startribune.com/voter-id-evidence-suggests-is-a-debate-we-don-t-need-to-have/505745202/
61,Douthat,Ross,timesunion,1,https://www.timesunion.com/opinion/article/Commentary-Remember-bad-boys-are-nothing-new-13547054.php
